Pincode,Place,Latitude,Longitude,District,State
721652,Jalpai,22.1454,87.9751,MEDINIPUR EAST,WEST BENGAL
721651,Bargoda,23.1119,86.3752,MEDINIPUR EAST,WEST BENGAL
721650,Amdabad,23.5021,87.8588,MEDINIPUR EAST,WEST BENGAL
721649,Simulia,22.3578,88.1922,MEDINIPUR EAST,WEST BENGAL
721648,Mirpur,27.041,79.837,MEDINIPUR EAST,WEST BENGAL
721647,Dobandi,22.8448,86.9772,MEDINIPUR EAST,WEST BENGAL
721646,Gokulnagar,22.1594,88.3792,MEDINIPUR EAST,WEST BENGAL
721645,Balughata,22.0731,88.0319,MEDINIPUR EAST,WEST BENGAL
721644,Donachak,22.8448,86.9772,MEDINIPUR EAST,WEST BENGAL
721643,Dhanyaghar,22.8448,86.9772,MEDINIPUR EAST,WEST BENGAL
721642,Paschimnaichanpur,22.660999999999998,88.7265,MEDINIPUR EAST,WEST BENGAL
721641,Jagannathpur,22.2217,85.63799999999998,MEDINIPUR EAST,WEST BENGAL
721636,Padumbasan,22.4817,88.0741,MEDINIPUR EAST,WEST BENGAL
721635,Tajnagar,21.6785,87.43700000000004,MEDINIPUR EAST,WEST BENGAL
721634,Dhuliapur,25.1726,83.5061,MEDINIPUR EAST,WEST BENGAL
721633,Brindabanpur,22.5094,88.0614,MEDINIPUR EAST,WEST BENGAL
721632,Kalyanpur,23.9225,91.6031,MEDINIPUR EAST,WEST BENGAL
721631,Durgapur,23.4996,87.3216,MEDINIPUR EAST,WEST BENGAL
721629,Moyna,22.3397,85.0377,MEDINIPUR EAST,WEST BENGAL
721628,Champi,24.4108,74.9296,MEDINIPUR EAST,WEST BENGAL
721627,Gobindapur,20.6829,86.51299999999998,MEDINIPUR EAST,WEST BENGAL
721626,Charabarh,23.3317,87.3737,MEDINIPUR EAST,WEST BENGAL
721625,Nandapur,18.564,82.7362,MEDINIPUR EAST,WEST BENGAL
721607,Haldia T.S,22.5715,86.2609,MEDINIPUR EAST,WEST BENGAL
721606,Haldia O.R,22.5715,86.2609,MEDINIPUR EAST,WEST BENGAL
721604,Haldia,22.0605,88.1097,MEDINIPUR EAST,WEST BENGAL
721603,Deulpota,22.1393,88.0671,MEDINIPUR EAST,WEST BENGAL
721602,Durgachak Colony,22.5715,86.2609,MEDINIPUR EAST,WEST BENGAL
721601,Lalpur,26.3167,79.3771,MEDINIPUR EAST,WEST BENGAL
721517,Aguiboni,22.6279,80.7789,Jhargram,WEST BENGAL
721516,Pirakata.,22.5649,87.1795,Jhargram,WEST BENGAL
721515,Chhotosukjora,22.6167,86.8167,Jhargram,WEST BENGAL
721514,Binpur,22.5813,86.9207,Jhargram,WEST BENGAL
721513,Kismat Dhangori,23.9899,89.8546,MEDINIPUR WEST,WEST BENGAL
721507,Raghunathpur (West Midnapore),22.4538,86.995,Jhargram,WEST BENGAL
721506,Bakra,22.482,86.4869,Jhargram,WEST BENGAL
721505,Parihati,22.5198,86.8485,Jhargram,WEST BENGAL
721504,Jashpur,22.8877,84.1393,BANKURA,WEST BENGAL
721503,Ghutia,22.4167,73.85,Jhargram,WEST BENGAL
721501,Chakadoba,22.7668,86.6586,Jhargram,WEST BENGAL
721467,Bonai,21.8195,84.9559,MEDINIPUR WEST,WEST BENGAL
721463,Digha New Township,22.3759,85.8071,MEDINIPUR EAST,WEST BENGAL
721458,Bhimeswaribazar,23.9835,84.5918,MEDINIPUR EAST,WEST BENGAL
721457,Dhuipada,20.9433,84.5956,MEDINIPUR WEST,WEST BENGAL
721456,Kalsi,29.9597,78.5778,MEDINIPUR EAST,WEST BENGAL
